HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,dt,h
2021-12-31 23:00:00,2022-01-01 00:00:00,DK2,346.540009,46.599998,2022-01-01,0
2022-01-01 00:00:00,2022-01-01 01:00:00,DK2,307.350006,41.330002,2022-01-01,1
2022-01-01 01:00:00,2022-01-01 02:00:00,DK2,313.670013,42.18,2022-01-01,2
2022-01-01 02:00:00,2022-01-01 03:00:00,DK2,329.959991,44.369999,2022-01-01,3
2022-01-01 03:00:00,2022-01-01 04:00:00,DK2,280.130005,37.669998,2022-01-01,4
2022-01-01 04:00:00,2022-01-01 05:00:00,DK2,295.230011,39.700001,2022-01-01,5
2022-01-01 05:00:00,2022-01-01 06:00:00,DK2,301.850006,40.59,2022-01-01,6
2022-01-01 06:00:00,2022-01-01 07:00:00,DK2,321.700012,43.259998,2022-01-01,7
2022-01-01 07:00:00,2022-01-01 08:00:00,DK2,369.299988,49.66,2022-01-01,8
2022-01-01 08:00:00,2022-01-01 09:00:00,DK2,520.929993,70.050003,2022-01-01,9
2022-01-01 09:00:00,2022-01-01 10:00:00,DK2,571.049988,76.790001,2022-01-01,10
2022-01-01 10:00:00,2022-01-01 11:00:00,DK2,625.409973,84.099998,2022-01-01,11
2022-01-01 11:00:00,2022-01-01 12:00:00,DK2,704.530029,94.739998,2022-01-01,12
2022-01-01 12:00:00,2022-01-01 13:00:00,DK2,719.849976,96.800003,2022-01-01,13
2022-01-01 13:00:00,2022-01-01 14:00:00,DK2,722.599976,97.169998,2022-01-01,14
2022-01-01 14:00:00,2022-01-01 15:00:00,DK2,753.090027,101.269997,2022-01-01,15
2022-01-01 15:00:00,2022-01-01 16:00:00,DK2,941.460022,126.599998,2022-01-01,16
2022-01-01 16:00:00,2022-01-01 17:00:00,DK2,1115.25,149.970001,2022-01-01,17
2022-01-01 17:00:00,2022-01-01 18:00:00,DK2,1088.180054,146.330002,2022-01-01,18
2022-01-01 18:00:00,2022-01-01 19:00:00,DK2,1043.189941,140.279999,2022-01-01,19
2022-01-01 19:00:00,2022-01-01 20:00:00,DK2,906.359985,121.879997,2022-01-01,20
2022-01-01 20:00:00,2022-01-01 21:00:00,DK2,763.059998,102.610001,2022-01-01,21
2022-01-01 21:00:00,2022-01-01 22:00:00,DK2,707.359985,95.120003,2022-01-01,22
2022-01-01 22:00:00,2022-01-01 23:00:00,DK2,618.049988,83.110001,2022-01-01,23
2022-01-01 23:00:00,2022-01-02 00:00:00,DK2,258.269989,34.73,2022-01-02,0
2022-01-02 00:00:00,2022-01-02 01:00:00,DK2,255.740005,34.389999,2022-01-02,1
2022-01-02 01:00:00,2022-01-02 02:00:00,DK2,255.520004,34.360001,2022-01-02,2
2022-01-02 02:00:00,2022-01-02 03:00:00,DK2,253.580002,34.099998,2022-01-02,3
2022-01-02 03:00:00,2022-01-02 04:00:00,DK2,219.820007,29.559999,2022-01-02,4
2022-01-02 04:00:00,2022-01-02 05:00:00,DK2,252.619995,33.970001,2022-01-02,5
2022-01-02 05:00:00,2022-01-02 06:00:00,DK2,256.709991,34.52,2022-01-02,6
2022-01-02 06:00:00,2022-01-02 07:00:00,DK2,310.850006,41.799999,2022-01-02,7
2022-01-02 07:00:00,2022-01-02 08:00:00,DK2,364.019989,48.950001,2022-01-02,8
2022-01-02 08:00:00,2022-01-02 09:00:00,DK2,446.26001,60.009998,2022-01-02,9
2022-01-02 09:00:00,2022-01-02 10:00:00,DK2,521.219971,70.089996,2022-01-02,10
2022-01-02 10:00:00,2022-01-02 11:00:00,DK2,492.73999,66.260002,2022-01-02,11
2022-01-02 11:00:00,2022-01-02 12:00:00,DK2,479.950012,64.540001,2022-01-02,12
2022-01-02 12:00:00,2022-01-02 13:00:00,DK2,349.220001,46.959999,2022-01-02,13
2022-01-02 13:00:00,2022-01-02 14:00:00,DK2,364.829987,49.060001,2022-01-02,14
2022-01-02 14:00:00,2022-01-02 15:00:00,DK2,557.659973,74.989998,2022-01-02,15
2022-01-02 15:00:00,2022-01-02 16:00:00,DK2,655.530029,88.150002,2022-01-02,16
2022-01-02 16:00:00,2022-01-02 17:00:00,DK2,709.440002,95.400002,2022-01-02,17
2022-01-02 17:00:00,2022-01-02 18:00:00,DK2,644.820007,86.709999,2022-01-02,18
2022-01-02 18:00:00,2022-01-02 19:00:00,DK2,530.0,71.269997,2022-01-02,19
2022-01-02 19:00:00,2022-01-02 20:00:00,DK2,402.459991,54.119999,2022-01-02,20
2022-01-02 20:00:00,2022-01-02 21:00:00,DK2,343.269989,46.16,2022-01-02,21
2022-01-02 21:00:00,2022-01-02 22:00:00,DK2,344.23999,46.290001,2022-01-02,22
2022-01-02 22:00:00,2022-01-02 23:00:00,DK2,244.880005,32.93,2022-01-02,23
2022-01-02 23:00:00,2022-01-03 00:00:00,DK2,98.160004,13.2,2022-01-03,0
2022-01-03 00:00:00,2022-01-03 01:00:00,DK2,148.139999,19.92,2022-01-03,1
2022-01-03 01:00:00,2022-01-03 02:00:00,DK2,147.759995,19.870001,2022-01-03,2
2022-01-03 02:00:00,2022-01-03 03:00:00,DK2,98.459999,13.24,2022-01-03,3
2022-01-03 03:00:00,2022-01-03 04:00:00,DK2,98.830002,13.29,2022-01-03,4
2022-01-03 04:00:00,2022-01-03 05:00:00,DK2,68.709999,9.24,2022-01-03,5
2022-01-03 05:00:00,2022-01-03 06:00:00,DK2,279.23999,37.549999,2022-01-03,6
2022-01-03 06:00:00,2022-01-03 07:00:00,DK2,660.059998,88.760002,2022-01-03,7
2022-01-03 07:00:00,2022-01-03 08:00:00,DK2,914.169983,122.93,2022-01-03,8
2022-01-03 08:00:00,2022-01-03 09:00:00,DK2,819.280029,110.169998,2022-01-03,9
2022-01-03 09:00:00,2022-01-03 10:00:00,DK2,694.419983,93.379997,2022-01-03,10
2022-01-03 10:00:00,2022-01-03 11:00:00,DK2,674.710022,90.730003,2022-01-03,11
2022-01-03 11:00:00,2022-01-03 12:00:00,DK2,612.539978,82.370003,2022-01-03,12
2022-01-03 12:00:00,2022-01-03 13:00:00,DK2,601.609985,80.900002,2022-01-03,13
2022-01-03 13:00:00,2022-01-03 14:00:00,DK2,602.280029,80.989998,2022-01-03,14
2022-01-03 14:00:00,2022-01-03 15:00:00,DK2,729.150024,98.050003,2022-01-03,15
2022-01-03 15:00:00,2022-01-03 16:00:00,DK2,896.469971,120.550003,2022-01-03,16
2022-01-03 16:00:00,2022-01-03 17:00:00,DK2,1037.910034,139.570007,2022-01-03,17
2022-01-03 17:00:00,2022-01-03 18:00:00,DK2,1001.619995,134.690002,2022-01-03,18
2022-01-03 18:00:00,2022-01-03 19:00:00,DK2,853.859985,114.82,2022-01-03,19
2022-01-03 19:00:00,2022-01-03 20:00:00,DK2,690.929993,92.910004,2022-01-03,20
2022-01-03 20:00:00,2022-01-03 21:00:00,DK2,538.330017,72.389999,2022-01-03,21
2022-01-03 21:00:00,2022-01-03 22:00:00,DK2,293.369995,39.450001,2022-01-03,22
2022-01-03 22:00:00,2022-01-03 23:00:00,DK2,255.820007,34.400002,2022-01-03,23
2022-01-03 23:00:00,2022-01-04 00:00:00,DK2,297.429993,39.990002,2022-01-04,0
2022-01-04 00:00:00,2022-01-04 01:00:00,DK2,276.230011,37.139999,2022-01-04,1
2022-01-04 01:00:00,2022-01-04 02:00:00,DK2,272.660004,36.66,2022-01-04,2
2022-01-04 02:00:00,2022-01-04 03:00:00,DK2,287.390015,38.639999,2022-01-04,3
2022-01-04 03:00:00,2022-01-04 04:00:00,DK2,305.089996,41.02,2022-01-04,4
2022-01-04 04:00:00,2022-01-04 05:00:00,DK2,698.900024,93.970001,2022-01-04,5
2022-01-04 05:00:00,2022-01-04 06:00:00,DK2,968.140015,130.169998,2022-01-04,6
2022-01-04 06:00:00,2022-01-04 07:00:00,DK2,1358.390015,182.639999,2022-01-04,7
2022-01-04 07:00:00,2022-01-04 08:00:00,DK2,1298.660034,174.610001,2022-01-04,8
2022-01-04 08:00:00,2022-01-04 09:00:00,DK2,1379.209961,185.440002,2022-01-04,9
2022-01-04 09:00:00,2022-01-04 10:00:00,DK2,1378.319946,185.320007,2022-01-04,10
2022-01-04 10:00:00,2022-01-04 11:00:00,DK2,1324.170044,178.039993,2022-01-04,11
2022-01-04 11:00:00,2022-01-04 12:00:00,DK2,1324.469971,178.080002,2022-01-04,12
2022-01-04 12:00:00,2022-01-04 13:00:00,DK2,1303.650024,175.279999,2022-01-04,13
2022-01-04 13:00:00,2022-01-04 14:00:00,DK2,1299.329956,174.699997,2022-01-04,14
2022-01-04 14:00:00,2022-01-04 15:00:00,DK2,1345.670044,180.929993,2022-01-04,15
2022-01-04 15:00:00,2022-01-04 16:00:00,DK2,1239.76001,166.690002,2022-01-04,16
2022-01-04 16:00:00,2022-01-04 17:00:00,DK2,1378.319946,185.320007,2022-01-04,17
2022-01-04 17:00:00,2022-01-04 18:00:00,DK2,1342.469971,180.5,2022-01-04,18
2022-01-04 18:00:00,2022-01-04 19:00:00,DK2,1144.47998,153.880005,2022-01-04,19
2022-01-04 19:00:00,2022-01-04 20:00:00,DK2,1091.900024,146.809998,2022-01-04,20
2022-01-04 20:00:00,2022-01-04 21:00:00,DK2,957.580017,128.75,2022-01-04,21
2022-01-04 21:00:00,2022-01-04 22:00:00,DK2,840.140015,112.959999,2022-01-04,22
2022-01-04 22:00:00,2022-01-04 23:00:00,DK2,625.570007,84.110001,2022-01-04,23
2022-01-04 23:00:00,2022-01-05 00:00:00,DK2,698.159973,93.870003,2022-01-05,0
2022-01-05 00:00:00,2022-01-05 01:00:00,DK2,384.440002,51.689999,2022-01-05,1
2022-01-05 01:00:00,2022-01-05 02:00:00,DK2,372.170013,50.040001,2022-01-05,2
2022-01-05 02:00:00,2022-01-05 03:00:00,DK2,368.380005,49.529999,2022-01-05,3
2022-01-05 03:00:00,2022-01-05 04:00:00,DK2,372.399994,50.07,2022-01-05,4
2022-01-05 04:00:00,2022-01-05 05:00:00,DK2,694.590027,93.389999,2022-01-05,5
2022-01-05 05:00:00,2022-01-05 06:00:00,DK2,737.5,99.160004,2022-01-05,6
2022-01-05 06:00:00,2022-01-05 07:00:00,DK2,752.299988,101.150002,2022-01-05,7
2022-01-05 07:00:00,2022-01-05 08:00:00,DK2,963.599976,129.559998,2022-01-05,8
2022-01-05 08:00:00,2022-01-05 09:00:00,DK2,900.609985,121.089996,2022-01-05,9
2022-01-05 09:00:00,2022-01-05 10:00:00,DK2,1004.429993,135.050003,2022-01-05,10
2022-01-05 10:00:00,2022-01-05 11:00:00,DK2,966.799988,129.990005,2022-01-05,11
2022-01-05 11:00:00,2022-01-05 12:00:00,DK2,981.530029,131.970001,2022-01-05,12
2022-01-05 12:00:00,2022-01-05 13:00:00,DK2,971.859985,130.669998,2022-01-05,13
2022-01-05 13:00:00,2022-01-05 14:00:00,DK2,902.840027,121.389999,2022-01-05,14
2022-01-05 14:00:00,2022-01-05 15:00:00,DK2,910.5,122.419998,2022-01-05,15
2022-01-05 15:00:00,2022-01-05 16:00:00,DK2,1021.02002,137.279999,2022-01-05,16
2022-01-05 16:00:00,2022-01-05 17:00:00,DK2,1101.420044,148.089996,2022-01-05,17
2022-01-05 17:00:00,2022-01-05 18:00:00,DK2,1040.359985,139.880005,2022-01-05,18
2022-01-05 18:00:00,2022-01-05 19:00:00,DK2,1009.640015,135.75,2022-01-05,19
2022-01-05 19:00:00,2022-01-05 20:00:00,DK2,891.97998,119.93,2022-01-05,20
2022-01-05 20:00:00,2022-01-05 21:00:00,DK2,729.539978,98.089996,2022-01-05,21
2022-01-05 21:00:00,2022-01-05 22:00:00,DK2,882.909973,118.709999,2022-01-05,22
2022-01-05 22:00:00,2022-01-05 23:00:00,DK2,723.590027,97.290001,2022-01-05,23
2022-01-05 23:00:00,2022-01-06 00:00:00,DK2,693.950012,93.290001,2022-01-06,0
2022-01-06 00:00:00,2022-01-06 01:00:00,DK2,600.820007,80.769997,2022-01-06,1
2022-01-06 01:00:00,2022-01-06 02:00:00,DK2,580.809998,78.080002,2022-01-06,2
2022-01-06 02:00:00,2022-01-06 03:00:00,DK2,609.73999,81.970001,2022-01-06,3
2022-01-06 03:00:00,2022-01-06 04:00:00,DK2,664.340027,89.309998,2022-01-06,4
2022-01-06 04:00:00,2022-01-06 05:00:00,DK2,667.609985,89.75,2022-01-06,5
2022-01-06 05:00:00,2022-01-06 06:00:00,DK2,721.98999,97.059998,2022-01-06,6
2022-01-06 06:00:00,2022-01-06 07:00:00,DK2,1441.530029,193.789993,2022-01-06,7
2022-01-06 07:00:00,2022-01-06 08:00:00,DK2,1702.839966,228.919998,2022-01-06,8
2022-01-06 08:00:00,2022-01-06 09:00:00,DK2,1583.680054,212.899994,2022-01-06,9
2022-01-06 09:00:00,2022-01-06 10:00:00,DK2,1603.02002,215.5,2022-01-06,10
2022-01-06 10:00:00,2022-01-06 11:00:00,DK2,1725.01001,231.899994,2022-01-06,11
2022-01-06 11:00:00,2022-01-06 12:00:00,DK2,1681.119995,226.0,2022-01-06,12
2022-01-06 12:00:00,2022-01-06 13:00:00,DK2,1556.160034,209.199997,2022-01-06,13
2022-01-06 13:00:00,2022-01-06 14:00:00,DK2,1607.180054,216.059998,2022-01-06,14
2022-01-06 14:00:00,2022-01-06 15:00:00,DK2,1716.609985,230.770004,2022-01-06,15
2022-01-06 15:00:00,2022-01-06 16:00:00,DK2,1829.52002,245.949997,2022-01-06,16
2022-01-06 16:00:00,2022-01-06 17:00:00,DK2,2038.98999,274.109985,2022-01-06,17
2022-01-06 17:00:00,2022-01-06 18:00:00,DK2,2034.01001,273.440002,2022-01-06,18
2022-01-06 18:00:00,2022-01-06 19:00:00,DK2,1785.410034,240.020004,2022-01-06,19
2022-01-06 19:00:00,2022-01-06 20:00:00,DK2,1620.949951,217.910004,2022-01-06,20
2022-01-06 20:00:00,2022-01-06 21:00:00,DK2,1512.339966,203.309998,2022-01-06,21
2022-01-06 21:00:00,2022-01-06 22:00:00,DK2,1274.310059,171.309998,2022-01-06,22
2022-01-06 22:00:00,2022-01-06 23:00:00,DK2,927.590027,124.699997,2022-01-06,23
2022-01-06 23:00:00,2022-01-07 00:00:00,DK2,959.039978,128.919998,2022-01-07,0
2022-01-07 00:00:00,2022-01-07 01:00:00,DK2,867.76001,116.650002,2022-01-07,1
2022-01-07 01:00:00,2022-01-07 02:00:00,DK2,747.919983,100.540001,2022-01-07,2
2022-01-07 02:00:00,2022-01-07 03:00:00,DK2,739.960022,99.470001,2022-01-07,3
2022-01-07 03:00:00,2022-01-07 04:00:00,DK2,756.840027,101.739998,2022-01-07,4
2022-01-07 04:00:00,2022-01-07 05:00:00,DK2,855.409973,114.989998,2022-01-07,5
2022-01-07 05:00:00,2022-01-07 06:00:00,DK2,1042.869995,140.190002,2022-01-07,6
2022-01-07 06:00:00,2022-01-07 07:00:00,DK2,1135.48999,152.639999,2022-01-07,7
2022-01-07 07:00:00,2022-01-07 08:00:00,DK2,1197.459961,160.970001,2022-01-07,8
2022-01-07 08:00:00,2022-01-07 09:00:00,DK2,1204.0,161.850006,2022-01-07,9
2022-01-07 09:00:00,2022-01-07 10:00:00,DK2,1200.430054,161.369995,2022-01-07,10
2022-01-07 10:00:00,2022-01-07 11:00:00,DK2,1235.319946,166.059998,2022-01-07,11
2022-01-07 11:00:00,2022-01-07 12:00:00,DK2,1238.890015,166.539993,2022-01-07,12
2022-01-07 12:00:00,2022-01-07 13:00:00,DK2,1234.650024,165.970001,2022-01-07,13
2022-01-07 13:00:00,2022-01-07 14:00:00,DK2,1230.109985,165.360001,2022-01-07,14
2022-01-07 14:00:00,2022-01-07 15:00:00,DK2,1377.329956,185.149994,2022-01-07,15
2022-01-07 15:00:00,2022-01-07 16:00:00,DK2,1499.400024,201.559998,2022-01-07,16
2022-01-07 16:00:00,2022-01-07 17:00:00,DK2,1808.5,243.110001,2022-01-07,17
2022-01-07 17:00:00,2022-01-07 18:00:00,DK2,1842.790039,247.720001,2022-01-07,18
2022-01-07 18:00:00,2022-01-07 19:00:00,DK2,1394.810059,187.5,2022-01-07,19
2022-01-07 19:00:00,2022-01-07 20:00:00,DK2,1193.959961,160.5,2022-01-07,20
2022-01-07 20:00:00,2022-01-07 21:00:00,DK2,1174.98999,157.949997,2022-01-07,21
2022-01-07 21:00:00,2022-01-07 22:00:00,DK2,1144.859985,153.899994,2022-01-07,22
2022-01-07 22:00:00,2022-01-07 23:00:00,DK2,1076.869995,144.759995,2022-01-07,23
2022-01-07 23:00:00,2022-01-08 00:00:00,DK2,1138.23999,153.029999,2022-01-08,0
2022-01-08 00:00:00,2022-01-08 01:00:00,DK2,1086.540039,146.080002,2022-01-08,1
2022-01-08 01:00:00,2022-01-08 02:00:00,DK2,1075.829956,144.639999,2022-01-08,2
2022-01-08 02:00:00,2022-01-08 03:00:00,DK2,1084.01001,145.740005,2022-01-08,3
2022-01-08 03:00:00,2022-01-08 04:00:00,DK2,1093.160034,146.970001,2022-01-08,4
2022-01-08 04:00:00,2022-01-08 05:00:00,DK2,1092.48999,146.880005,2022-01-08,5
2022-01-08 05:00:00,2022-01-08 06:00:00,DK2,1090.109985,146.559998,2022-01-08,6
2022-01-08 06:00:00,2022-01-08 07:00:00,DK2,1094.719971,147.179993,2022-01-08,7
2022-01-08 07:00:00,2022-01-08 08:00:00,DK2,1142.920044,153.660004,2022-01-08,8
2022-01-08 08:00:00,2022-01-08 09:00:00,DK2,1160.849976,156.070007,2022-01-08,9
2022-01-08 09:00:00,2022-01-08 10:00:00,DK2,1183.23999,159.080002,2022-01-08,10
2022-01-08 10:00:00,2022-01-08 11:00:00,DK2,1178.920044,158.5,2022-01-08,11
2022-01-08 11:00:00,2022-01-08 12:00:00,DK2,1181.079956,158.789993,2022-01-08,12
2022-01-08 12:00:00,2022-01-08 13:00:00,DK2,1160.849976,156.070007,2022-01-08,13
2022-01-08 13:00:00,2022-01-08 14:00:00,DK2,1161.670044,156.179993,2022-01-08,14
2022-01-08 14:00:00,2022-01-08 15:00:00,DK2,1181.819946,158.889999,2022-01-08,15
2022-01-08 15:00:00,2022-01-08 16:00:00,DK2,1197.52002,161.0,2022-01-08,16
2022-01-08 16:00:00,2022-01-08 17:00:00,DK2,1412.47998,189.899994,2022-01-08,17
2022-01-08 17:00:00,2022-01-08 18:00:00,DK2,1269.73999,170.710007,2022-01-08,18
2022-01-08 18:00:00,2022-01-08 19:00:00,DK2,1041.920044,140.080002,2022-01-08,19
2022-01-08 19:00:00,2022-01-08 20:00:00,DK2,781.51001,105.07,2022-01-08,20
2022-01-08 20:00:00,2022-01-08 21:00:00,DK2,779.869995,104.849998,2022-01-08,21
2022-01-08 21:00:00,2022-01-08 22:00:00,DK2,779.5,104.800003,2022-01-08,22
2022-01-08 22:00:00,2022-01-08 23:00:00,DK2,669.789978,90.050003,2022-01-08,23
2022-01-08 23:00:00,2022-01-09 00:00:00,DK2,632.460022,85.029999,2022-01-09,0
2022-01-09 00:00:00,2022-01-09 01:00:00,DK2,627.780029,84.400002,2022-01-09,1
2022-01-09 01:00:00,2022-01-09 02:00:00,DK2,596.830017,80.239998,2022-01-09,2
2022-01-09 02:00:00,2022-01-09 03:00:00,DK2,412.519989,55.459999,2022-01-09,3
2022-01-09 03:00:00,2022-01-09 04:00:00,DK2,366.619995,49.290001,2022-01-09,4
2022-01-09 04:00:00,2022-01-09 05:00:00,DK2,376.670013,50.639999,2022-01-09,5
2022-01-09 05:00:00,2022-01-09 06:00:00,DK2,552.580017,74.290001,2022-01-09,6
2022-01-09 06:00:00,2022-01-09 07:00:00,DK2,628.070007,84.440002,2022-01-09,7
2022-01-09 07:00:00,2022-01-09 08:00:00,DK2,723.429993,97.260002,2022-01-09,8
2022-01-09 08:00:00,2022-01-09 09:00:00,DK2,892.349976,119.970001,2022-01-09,9
2022-01-09 09:00:00,2022-01-09 10:00:00,DK2,1003.849976,134.960007,2022-01-09,10
2022-01-09 10:00:00,2022-01-09 11:00:00,DK2,1084.619995,145.820007,2022-01-09,11
2022-01-09 11:00:00,2022-01-09 12:00:00,DK2,1168.819946,157.139999,2022-01-09,12
2022-01-09 12:00:00,2022-01-09 13:00:00,DK2,1150.380005,154.660004,2022-01-09,13
2022-01-09 13:00:00,2022-01-09 14:00:00,DK2,1152.01001,154.880005,2022-01-09,14
2022-01-09 14:00:00,2022-01-09 15:00:00,DK2,1177.969971,158.369995,2022-01-09,15
2022-01-09 15:00:00,2022-01-09 16:00:00,DK2,1386.23999,186.369995,2022-01-09,16
2022-01-09 16:00:00,2022-01-09 17:00:00,DK2,1660.930054,223.300003,2022-01-09,17
2022-01-09 17:00:00,2022-01-09 18:00:00,DK2,1808.869995,243.190002,2022-01-09,18
2022-01-09 18:00:00,2022-01-09 19:00:00,DK2,1559.400024,209.649994,2022-01-09,19
2022-01-09 19:00:00,2022-01-09 20:00:00,DK2,1153.430054,155.070007,2022-01-09,20
2022-01-09 20:00:00,2022-01-09 21:00:00,DK2,1185.47998,159.380005,2022-01-09,21
2022-01-09 21:00:00,2022-01-09 22:00:00,DK2,1102.550049,148.229996,2022-01-09,22
2022-01-09 22:00:00,2022-01-09 23:00:00,DK2,1076.959961,144.789993,2022-01-09,23
2022-01-09 23:00:00,2022-01-10 00:00:00,DK2,1073.170044,144.279999,2022-01-10,0
2022-01-10 00:00:00,2022-01-10 01:00:00,DK2,1027.130005,138.089996,2022-01-10,1
2022-01-10 01:00:00,2022-01-10 02:00:00,DK2,995.289978,133.809998,2022-01-10,2
2022-01-10 02:00:00,2022-01-10 03:00:00,DK2,1014.849976,136.440002,2022-01-10,3
2022-01-10 03:00:00,2022-01-10 04:00:00,DK2,1063.569946,142.990005,2022-01-10,4
2022-01-10 04:00:00,2022-01-10 05:00:00,DK2,1131.26001,152.089996,2022-01-10,5
2022-01-10 05:00:00,2022-01-10 06:00:00,DK2,1723.709961,231.740005,2022-01-10,6
2022-01-10 06:00:00,2022-01-10 07:00:00,DK2,2231.060059,299.950012,2022-01-10,7
2022-01-10 07:00:00,2022-01-10 08:00:00,DK2,2334.969971,313.920013,2022-01-10,8
2022-01-10 08:00:00,2022-01-10 09:00:00,DK2,2343.0,315.0,2022-01-10,9
2022-01-10 09:00:00,2022-01-10 10:00:00,DK2,2308.860107,310.410004,2022-01-10,10
2022-01-10 10:00:00,2022-01-10 11:00:00,DK2,2306.409912,310.079987,2022-01-10,11
2022-01-10 11:00:00,2022-01-10 12:00:00,DK2,2231.429932,300.0,2022-01-10,12
2022-01-10 12:00:00,2022-01-10 13:00:00,DK2,2209.189941,297.01001,2022-01-10,13
2022-01-10 13:00:00,2022-01-10 14:00:00,DK2,2231.129883,299.959991,2022-01-10,14
2022-01-10 14:00:00,2022-01-10 15:00:00,DK2,2279.409912,306.450012,2022-01-10,15
2022-01-10 15:00:00,2022-01-10 16:00:00,DK2,2251.73999,302.730011,2022-01-10,16
2022-01-10 16:00:00,2022-01-10 17:00:00,DK2,2346.5,315.470001,2022-01-10,17
2022-01-10 17:00:00,2022-01-10 18:00:00,DK2,2311.909912,310.820007,2022-01-10,18
2022-01-10 18:00:00,2022-01-10 19:00:00,DK2,2194.090088,294.980011,2022-01-10,19
2022-01-10 19:00:00,2022-01-10 20:00:00,DK2,1941.569946,261.029999,2022-01-10,20
2022-01-10 20:00:00,2022-01-10 21:00:00,DK2,1801.72998,242.229996,2022-01-10,21
2022-01-10 21:00:00,2022-01-10 22:00:00,DK2,1575.609985,211.830002,2022-01-10,22
2022-01-10 22:00:00,2022-01-10 23:00:00,DK2,1116.380005,150.089996,2022-01-10,23
2022-01-10 23:00:00,2022-01-11 00:00:00,DK2,1129.829956,151.899994,2022-01-11,0
2022-01-11 00:00:00,2022-01-11 01:00:00,DK2,1101.199951,148.050003,2022-01-11,1
2022-01-11 01:00:00,2022-01-11 02:00:00,DK2,1074.050049,144.399994,2022-01-11,2
2022-01-11 02:00:00,2022-01-11 03:00:00,DK2,1072.189941,144.149994,2022-01-11,3
2022-01-11 03:00:00,2022-01-11 04:00:00,DK2,1084.390015,145.789993,2022-01-11,4
2022-01-11 04:00:00,2022-01-11 05:00:00,DK2,1126.780029,151.490005,2022-01-11,5
2022-01-11 05:00:00,2022-01-11 06:00:00,DK2,1721.449951,231.440002,2022-01-11,6
2022-01-11 06:00:00,2022-01-11 07:00:00,DK2,2168.25,291.51001,2022-01-11,7
2022-01-11 07:00:00,2022-01-11 08:00:00,DK2,2231.550049,300.019989,2022-01-11,8
2022-01-11 08:00:00,2022-01-11 09:00:00,DK2,2210.280029,297.160004,2022-01-11,9
2022-01-11 09:00:00,2022-01-11 10:00:00,DK2,2050.429932,275.670013,2022-01-11,10
2022-01-11 10:00:00,2022-01-11 11:00:00,DK2,1966.609985,264.399994,2022-01-11,11
2022-01-11 11:00:00,2022-01-11 12:00:00,DK2,1878.76001,252.589996,2022-01-11,12
2022-01-11 12:00:00,2022-01-11 13:00:00,DK2,1847.449951,248.380005,2022-01-11,13
2022-01-11 13:00:00,2022-01-11 14:00:00,DK2,1851.23999,248.889999,2022-01-11,14
2022-01-11 14:00:00,2022-01-11 15:00:00,DK2,2017.410034,271.230011,2022-01-11,15
2022-01-11 15:00:00,2022-01-11 16:00:00,DK2,2104.810059,282.980011,2022-01-11,16
2022-01-11 16:00:00,2022-01-11 17:00:00,DK2,2296.929932,308.809998,2022-01-11,17
2022-01-11 17:00:00,2022-01-11 18:00:00,DK2,2293.280029,308.320007,2022-01-11,18
2022-01-11 18:00:00,2022-01-11 19:00:00,DK2,2076.689941,279.200012,2022-01-11,19
2022-01-11 19:00:00,2022-01-11 20:00:00,DK2,1299.420044,174.699997,2022-01-11,20
2022-01-11 20:00:00,2022-01-11 21:00:00,DK2,1176.77002,158.210007,2022-01-11,21
2022-01-11 21:00:00,2022-01-11 22:00:00,DK2,1153.339966,155.059998,2022-01-11,22
2022-01-11 22:00:00,2022-01-11 23:00:00,DK2,1113.469971,149.699997,2022-01-11,23
2022-01-11 23:00:00,2022-01-12 00:00:00,DK2,1098.310059,147.619995,2022-01-12,0
2022-01-12 00:00:00,2022-01-12 01:00:00,DK2,1079.47998,145.089996,2022-01-12,1
2022-01-12 01:00:00,2022-01-12 02:00:00,DK2,1068.920044,143.669998,2022-01-12,2
2022-01-12 02:00:00,2022-01-12 03:00:00,DK2,1066.97998,143.410004,2022-01-12,3
2022-01-12 03:00:00,2022-01-12 04:00:00,DK2,1073.680054,144.309998,2022-01-12,4
2022-01-12 04:00:00,2022-01-12 05:00:00,DK2,1086.400024,146.020004,2022-01-12,5
2022-01-12 05:00:00,2022-01-12 06:00:00,DK2,1591.209961,213.869995,2022-01-12,6
2022-01-12 06:00:00,2022-01-12 07:00:00,DK2,1983.75,266.630005,2022-01-12,7
2022-01-12 07:00:00,2022-01-12 08:00:00,DK2,2179.209961,292.899994,2022-01-12,8
2022-01-12 08:00:00,2022-01-12 09:00:00,DK2,2125.709961,285.709991,2022-01-12,9
2022-01-12 09:00:00,2022-01-12 10:00:00,DK2,2000.48999,268.880005,2022-01-12,10
2022-01-12 10:00:00,2022-01-12 11:00:00,DK2,1878.180054,252.440002,2022-01-12,11
2022-01-12 11:00:00,2022-01-12 12:00:00,DK2,1441.589966,193.759995,2022-01-12,12
2022-01-12 12:00:00,2022-01-12 13:00:00,DK2,1065.349976,143.190002,2022-01-12,13
2022-01-12 13:00:00,2022-01-12 14:00:00,DK2,992.140015,133.350006,2022-01-12,14
2022-01-12 14:00:00,2022-01-12 15:00:00,DK2,986.47998,132.589996,2022-01-12,15
2022-01-12 15:00:00,2022-01-12 16:00:00,DK2,987.080017,132.669998,2022-01-12,16
2022-01-12 16:00:00,2022-01-12 17:00:00,DK2,1037.0,139.380005,2022-01-12,17
